id|fk_series_id|time_original|conc_original|conc_sd_original|conc_lower_bound_original|conc_upper_bound_original|no_conc_val_type|time_hr|conc|conc_sd|conc_lower_bound|conc_upper_bound
1|1|0.069826356|2.618893264|||||0.06982|0.00261|||
2|1|0.23992755|122.1567134|||||0.23992|0.12215|||
3|1|0.40765333|340.571116|47.781569965871||||0.40765|0.34057|||
4|1|0.766815835|990.4318529|76.792296162309||||0.76681|0.99043|||
5|1|1.066636194|510.4093944|54.607508532423||||1.06663|0.5104|||
6|1|1.605649885|273.9645245|27.303754266211||||1.60564|0.27396|||
7|1|2.084565617|139.0971899|37.542662116041||||2.08456|0.13909|||
8|1|2.56140826|90.52214556|46.9278403564612||||2.5614|0.09052|||
9|1|3.614720545|46.39830194|11.9453924914679||||3.61472|0.04639|||
10|1|4.566807827|15.76518679|25.5967823359835||||4.5668|0.01576|||
11|1|5.518290458|10.30065625|18.77133105802||||5.51829|0.0103|||
12|1|7.579598618|8.348498338|11.092150170648||||7.57959|0.00834|||
13|1|9.583292206|4.602903313|||||9.58329|0.0046|||
14|1|13.08600121|4.340528107|||||13.086|0.00434|||
15|1|18.04463348|1.272465765|||||18.04463|0.00127|||
16|1|24.02662622|0.82437642|||||24.02662|8.2E-4|||
17|2|0.010920193|670.0474694|||||0.26208|0.67004|||
18|2|0.006823482|353.1329026|||||0.16376|0.35313|||
19|2|0.008901334|293.2319709|||||0.21363|0.29323|||
20|2|3.995597838|46.52828304|||||95.89434|0.04652|||
21|2|7.026207153|225.5965139|||||168.62897|0.22559|||
22|2|10.00863914|289.7494386|||||240.20733|0.28974|||
23|2|10.01014018|222.1869359|||||240.24336|0.22218|||
24|2|9.999986891|174.8258734|||||239.99968|0.17482|||
25|3|4.0|731.0|119.0||||4.0|0.71491|||
26|3|8.0|843.0|197.0||||8.0|0.82445|||
27|3|24.0|514.0|32.0||||24.0|0.50269|||
28|3|48.0|342.0|37.0||||48.0|0.33447|||
29|4|4.0|2462.0|1061.0||||4.0|2.86279|||
30|4|8.0|4403.0|2661.0||||8.0|5.11976|||
31|4|24.0|626.0|291.0||||24.0|0.7279|||
32|4|48.0|360.0|153.0||||48.0|0.4186|||
33|5|4.0|916.0|426.0||||4.0|0.1345|||
34|5|8.0|1872.0|1935.0||||8.0|0.27488|||
35|5|24.0|444.0|209.0||||24.0|0.06519|||
36|5|48.0|237.0|149.0||||48.0|0.0348|||
37|6|4.0|1078.0|923.0||||4.0|1.58296|||
38|6|8.0|537.0|94.0||||8.0|0.78854|||
39|6|24.0|287.0|8.1||||24.0|0.42143|||
40|6|48.0|141.0|29.0||||48.0|0.20704|||
41|7|4.0|11787.0|5230.0||||4.0||||
42|7|8.0|29439.0|37823.0||||8.0||||
43|7|24.0|8244.0|10336.0||||24.0||||
44|7|48.0|1218.0|861.0||||48.0||||
45|8|4.0|428.0|99.0||||4.0||||
46|8|8.0|389.0|70.0||||8.0||||
47|8|24.0|201.0|5.5||||24.0||||
48|8|48.0|90.0|7.6||||48.0||||
49|9|4.0|7053.0|1707.0||||4.0|0.82587|||
50|9|8.0|7225.0|1743.0||||8.0|0.84601|||
51|9|24.0|3016.0|399.0||||24.0|0.35316|||
52|9|48.0|1724.0|260.0||||48.0|0.20187|||
53|10|4.0|2237.0|2537.0||||4.0|3.00268|||
