id|pmid|doi|first_author|year|title|other_study_identifier|url|extracted|tentatively_identified_test_substance|machine_confidence|tsca|fifra|toxcast
1|43370|||||||1|||||
2|422270|||||||1|||||
3|422271|||||||1|||||
4|538758|||||||1|||||
5|629888|||||||1|||||
6|731724|||||||2|||||
7|734422|||||||2|||||
8|843463|||||||1|||||
9|843464|||||||1|||||
10|926203|||||||1|||||
11|1019595|||||||1|||||
12|1020533|||||||2|||||
13|1103957|||||||1|||||
14|1233222|||||||1|||||
15|1336725|||||||1|||||
16|1439659|||||||1|||||
17|1440610|||||||1|||||
18|1673388|||||||2|||||
19|1780503|||||||1|||||
20|1891776|||||||1|||||
21|1897000|||||||1|||||
22|1900959|||||||1|||||
23|2068722|||||||1|||||
24|2158678|||||||1|||||
25|2309238|||||||1|||||
26|2315918|||||||1|||||
27|2318354|||||||1|||||
28|2472493|||||||1|||||
29|2749729|||||||2|||||
30|3096853|||||||2|||||
31|3345969|||||||1|||||
32|3390214|||||||1|||||
33|3756912|||||||1|||||
34|3764915|||||||1|||||
35|3824380|||||||1|||||
36|5494573|||||||1|||||
37|5652389|||||||1|||||
38|6310077|||||||1|||||
39|6479512|||||||1|||||
40|6509438|||||||1|||||
41|7251180|||||||1|||||
42|7385239|||||||3|||||
43|7570594|||||||1|||||
44|8431392|||||||1|||||
45|9356303|||||||1|||||
46|9561966|||||||1|||||
47|9721257|||||||1|||||
48|9853003|||||||2|||||
49|10630700|||||||1|||||
50|11445891|||||||1|||||
51|11504147|||||||1|||||
52|14635266|||||||1|||||
53|15102951|||||||1|||||
54|16326436|||||||1|||||
55|17668360|||||||1|||||
56|17897969|||||||1|||||
58|19526226|||||||2|||||
59|20186696|||||||1|||||
60|20186885|||||||1|||||
61|22265941|||||||1|||||
62|22940574|||||||1|||||
63|23235327|||||||1|||||
64|24068675|||||||1|||||
65|24533629|||||||1|||||
66|27270205|||||||1|||||
67|28253826|||||||1|||||
128||10.5012/bkcs.2003.24.5.559||||||1|||||
129||||||S0593|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
130||||||C99037B|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
131||||||C20619|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
132||||||C96019|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
133||||||S0640|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
134||||||C96016|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
135||||||S0545|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
136||||||S0976|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
137||||||S0548|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
138||||||S0361|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
139||||||S0594|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
140||||||S0560|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
141||||||S0916|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
142||||||S0917|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
143||||||C06100|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
144||||||C07040|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
145||||||C20613|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
146||||||C20614|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
147||||||C20615|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
148||||||C20617|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
149||||||C55301B|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
150||||||C92012B|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
151||||||C92013B|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
152||||||C93025|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
153||||||C96017|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
154||||||C96018|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
155||||||C99028|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
156||||||CHEM08428|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
157||||||K10262|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
158||||||K10265|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
159||||||S0301|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
160||||||S0322|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
161||||||S0328|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
162||||||S0373|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
163||||||S0541|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
164||||||S0546|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
165||||||S0555|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
166||||||S0558|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
167||||||S0559|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
168||||||S0569|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
169||||||S0571|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
170||||||S0577|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
171||||||S0592|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
172||||||S0613|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
173||||||S0629|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
174||||||S0811|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
175||||||S0851|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
176||||||S0539|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
177||||||S0621|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|2|||||
178||||||S0623|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
179||||||S0624|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
180||||||S0654|ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/NTP_TK/Individual_Animal_Data/|1|||||
192|29385628|10.1093/toxsci/kfy020|Wambaugh JF|2018|||https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5920326/|1|||||
193|10421610||Wang|1999||||2|||||
194|||Yeung PK|2009|||https://benthamopen.com/contents/pdf/TODMJ/TODMJ-3-56.pdf|0|Diltiazem||||
195|||Du B|2010|||http://www.sciencepub.net/life/life0702/17_2055life0702_86_90.pdf|0|nicardipine||||
196|||Ako RA|2011|||https://uh-ir.tdl.org/uh-ir/handle/10657/251|0|Diethylstilbestrol||||
197|6636344||Aanderud and Bakke |1983||||1|||||
198|14617681||Treiber |2004||||2|||||
201|12486692||Jia|2003||Carbendazim||1|||||
202|11861971||Timchalk|2002||Chlorpyrifos||2|||||
203|9808668||Kawai|1998||Cyclosporin||1|||||
204|10772639||Tanaka|2000||Cyclosporin||2|||||
206|20067705||Leon-Reyes|2009||Diclofenac||2|||||
207|7737239||Tsui|1994||Diltiazem||2|||||
209|7069578||Igari|1982||Hexobarbitone||1|||||
210|1673423||Satterwhite and Boudinot |1991||Ibuprofen||2|||||
211|2894451||Okiyama|1988||Imipramine ||2|||||
212|6622297||Szymura|1983||Imipramine ||2|||||
216|16029965||Boralli|2005||Metoprolol||1|||||
217|12183684||Kotegawa|2002||Midazolam||2|||||
219|3354229||Tokuma|1988||Nilvadipine||2|||||
220|18697186||Yang|2008||Ondansetron||2|||||
221|12434508||Cruz|2002||Phenacetin||2|||||
222|9454785||Della Paschoa|1998||Phenytoin ||1|||||
223|18022993||Kim|2008||Phenytoin ||1|||||
225|17132763||Nagata|2007||Tolbutamide||2|||||
226|19679455||Wang|2010||Tolbutamide||2|||||
227|1686245||Kobayashi|1991||Valproic acid||2|||||
228|3146521||Binkerd|1988||Valproic acid||1|||||
229|8078087|||||||1|||||
230|22188408|||||||1|||||
231|15777087|||||||1|||||
232|23143927|||||||2|||||
233|6845373|||||||1|||||
234|11453305|||||||1|||||
235|10222575|||||||1|||||
236|||||||http://www.dtic.mil/dtic/tr/fulltext/u2/a435036.pdf|1|||||
237|19875680|||||||1|||||
238|15793558|||||||1|||||
239|8248934|||||||1|||||
240|2734795|||||||1|||||
241|24495244|||||||2|||||
242|16036747|||||||1|||||
243|11100949|||||||1|||||
244|17365028|||||||1|||||
245|8887460|||||||1|||||
246|9878592|||||||1|||||
247|26079054|||||||1|||||
248|18579268|||||||1|||||
249|10079206|||||||1|||||
250|11568359|||||||1|||||
251|8055623||Himmelstein MW|1994||||2|1,3-butadiene||||
252|599589|||||||0|Silvex||||
253|644269|||||||0|Xylene; styrene; toluene; 1,1,1-trichloroethane; tetrachloroethylene||||
254|725933|||||||0|Vinylidene Chloride||||
255|739211|||||||0|1,2,4,5-Tetrachlorobenzene||||
256|1822580|||||||0|toluene; 1,1,1-trichloroethane; butane||||
257|2077699|||||||0|perchloroethylene; trichloroethylene; 1,1,1-trichloroethane||||
258|2734795|||||||0|ethyl chloride; 1,1-dichloroethane; 1,2-dichloroethane; 1,1,1,-trichloroethane||||
259|9699792|||||||0|trichloroethylene||||
260|3021019|||||||0|manganese||||
261|27871467|||||||0|ranitidine||||
262|10672989|||||||0|ethanol||||
263|25575246|||||||0|||||
264|422|||||||0|[' ethanol ', ' perchloric acid ']|1|1|1|1
265|479|||||||0|[ 'isotonic lactic acid']|0.888889|||
266|632|||||||0|[ ' acetate ', ' ammonium ']|1|||
267|752|||||||0|[ ' bicarbonate ', ' carbon dioxide ']|1|1|1|
268|1048|||||||0|['3-methylflavone-8-carboxylic acid', 'flavoxate', 'phosphate', 'serum']|0.888889|1||
269|1051|||||||0|[' benorylate ']|1|||
270|1168|||||||0|['fluorine', 'phenobarbital']|1|1||
271|1219|||||||0|[ ' catechol ']|0.777778|1||1
272|1220|||||||0|[' glycine ', ' hexobarbital ', ' tolbutamide ']|1|1||1
273|1221|||||||0|['canrenone', 'chloroform', 'spironolactone']|1|1|1|
274|1223|||||||0|[' griseofulvin ']|1|||1
275|1228|||||||0|['2-[4-(2,2-Dichlorocyclopropyl)phenoxy]-2-methylpropanoic acid']|1|||
276|1230|||||||0|['colchicine']|1|1||
277|1231|||||||0|['poloxamer']|1|||
278|1234|||||||0|['sulphacetamide']|0.888889|1||
279|1445|||||||0|['125I-labeled type III neumococcal polysaccharide']|0.777778|||
280|1517|||||||0|['epinephrine', 'guanethidine', 'norepinephrine', 'saline', 'tyrosine']|1|1||
281|1562|||||||0|[ ' alprenolol ', ' pindolol ', ' practolol ', ' propranolol ']|1|||
282|1901|||||||0|['actinomycin', 'tyrosine']|0.777778|1||
283|2016|||||||0|[ ' bicarbonate ', ' chloride ', ' chlorothiazide ', ' ethacrynic acid ', ' nitrate ', ' sodium chloride ', ' sodium nitrate ']|0.777778|1|1|
284|2088|||||||0|['acebutolol']|0.888889|||
285|2654|||||||0|[' vanadium ']|0.777778|1||
286|3245|||||||0|['[35S]-bromosulphophthalein']|1|||
287|3248|||||||0|['dopamine', 'l-tryptophan', 'n,n-dimethyltryptamine', 'tranylcypromine']|0.777778|1||
288|3304|||||||0|['angiotensin']|1|||
289|3395|||||||0|[ ' ouabain ']|1|1||1
290|3403|||||||0|['bitolterol']|1|||
291|3404|||||||0|[ ' bitolterol ']|1|||
292|3407|||||||0|[' digoxigenin ', ' digoxin ']|1|1||1
293|3759|||||||0|[' ammonium ', ' ammonium chloride ', ' bicarbonate ', ' chloride ']|1|1||
294|3869|||||||0|['camp']|0.888889|1||
295|4297|||||||0|[ ' glycine ', ' lysine ']|0.777778|1||
296|4361|||||||0|[ ' cimetidine ']|0.777778|||
