id|analyte_name_original|fk_analyzed_chemical_id|figure_name|figure_series_identifier|author_comment|time_units_original|conc_units_original|conc_units_normalized|log_concentration_values|loq|loq_units|analytical_method_detail|n_subjects_in_series|fk_subject_id|conc_medium_original|conc_medium_normalized|curator_comment|fk_study_id|radiolabeled|analyte_dtxsid|analyte_casrn|test_substance_dtxsid|test_substance_casrn|fk_test_chemical_id
1|Solvent red1|1|Figure 5B||mean values|hr|ug/L|||1.0 |ug/L||6|1|blood|blood||1157||DTXSID3061635|1229-55-6|DTXSID3061635|1229-55-6|1
2|musk moskene|2|Fig. 2|triangle|30 embryos in 2 petri dishes, multiple data points per time point, overlapping points made accurate capture difficult|days|ug/L||||||30|2|embryo medium|||1158||DTXSID6044519|116-66-5|DTXSID6044519|116-66-5|2
3|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|blood|blood||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
4|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|adipose|adipose||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
5|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|muscle|muscle||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
6|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|skin|skin||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
7|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|bladder|bladder||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
8|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|testes|testes||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
9|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|kidney|kidney||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
10|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|spleen|spleen||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
11|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|liver|liver||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
12|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|lung|lung||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
13|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|heart|heart||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
14|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|brain|brain||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
15|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|thymus|thymus||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
16|[14]C|256|Table 2.|||hr|ng/g tissue||||||4|3|pancreas|pancreas||1159||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
17|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|blood|blood||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
18|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|adipose|adipose||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
19|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|muscle|muscle||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
20|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|skin|skin||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
21|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|bladder|bladder||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
22|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|testes|testes||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
23|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|kidney|kidney||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
24|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|spleen|spleen||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
25|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|liver|liver||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
26|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|lung|lung||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
27|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|heart|heart||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
28|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|brain|brain||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
29|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|thymus|thymus||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
30|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|pancreas|pancreas||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
31|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|blood|blood||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
32|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|adipose|adipose||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
33|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|muscle|muscle||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
34|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|skin|skin||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
35|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|bladder|bladder||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
36|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|testes|testes||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
37|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|kidney|kidney||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
38|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|spleen|spleen||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
39|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|liver|liver||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
40|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|lung|lung||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
41|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|heart|heart||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
42|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|brain|brain||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
43|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|thymus|thymus||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
44|[14]C|256|Table 6.||covered|hr|ng/g tissue||||||4|3|pancreas|pancreas||1161||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
45|hexachlorocyclohexane|4|Table I.|||week|ug/mL||0||||10|4|blood|blood||1162||DTXSID7020687|608-73-1|DTXSID7020687|608-73-1|4
46|[14]C|256|Table 7.||uncovered|hr|ng/g tissue||||||4|3|blood|blood||1160||DTXSID20873970|14762-75-5|DTXSID7031290|54464-57-2|3
