id|fk_series_id|fk_study_id|fk_chemical_id|calculated_with_invivopkfit|parameter_name|parameter_unit|parameter_value|parameter_value_sd|calculation_date|comment|joint_analysis_studies|reason_for_omittal|loglikelihood|AIC
1|1|||0|AUC||1060.63408323||2018-08-08 16:26:46.214162|calculated in Python 3.5 with numpy 1.13.3 trapz||||
2|2|||0|AUC||1855.04902079||2018-08-08 16:26:46.214662|calculated in Python 3.5 with numpy 1.13.3 trapz||||
3|3|||0|AUC||24276.0||2018-08-08 16:26:46.215663|calculated in Python 3.5 with numpy 1.13.3 trapz||||
4|4|||0|AUC||65794.0||2018-08-08 16:26:46.217665|calculated in Python 3.5 with numpy 1.13.3 trapz||||
5|5|||0|AUC||32276.0||2018-08-08 16:26:46.218666|calculated in Python 3.5 with numpy 1.13.3 trapz||||
6|6|||0|AUC||14958.0||2018-08-08 16:26:46.219166|calculated in Python 3.5 with numpy 1.13.3 trapz||||
7|7|||0|AUC||497460.0||2018-08-08 16:26:46.219666|calculated in Python 3.5 with numpy 1.13.3 trapz||||
8|8|||0|AUC||9846.0||2018-08-08 16:26:46.220167|calculated in Python 3.5 with numpy 1.13.3 trapz||||
9|9|||0|AUC||167364.0||2018-08-08 16:26:46.220667|calculated in Python 3.5 with numpy 1.13.3 trapz||||
10|10|||0|AUC||40532.0||2018-08-08 16:26:46.221168|calculated in Python 3.5 with numpy 1.13.3 trapz||||
11|11|||0|AUC||201174.0||2018-08-08 16:26:46.221668|calculated in Python 3.5 with numpy 1.13.3 trapz||||
12|12|||0|AUC||23140.0||2018-08-08 16:26:46.222669|calculated in Python 3.5 with numpy 1.13.3 trapz||||
13|13|||0|AUC||17028.0||2018-08-08 16:26:46.223169|calculated in Python 3.5 with numpy 1.13.3 trapz||||
14|14|||0|AUC||3512.0||2018-08-08 16:26:46.223670|calculated in Python 3.5 with numpy 1.13.3 trapz||||
15|15|||0|AUC||11472.0||2018-08-08 16:26:46.224170|calculated in Python 3.5 with numpy 1.13.3 trapz||||
16|16|||0|AUC||179888.0||2018-08-08 16:26:46.224670|calculated in Python 3.5 with numpy 1.13.3 trapz||||
17|17|||0|AUC||16824.0||2018-08-08 16:26:46.225171|calculated in Python 3.5 with numpy 1.13.3 trapz||||
18|18|||0|AUC||98208.0||2018-08-08 16:26:46.225671|calculated in Python 3.5 with numpy 1.13.3 trapz||||
19|19|||0|AUC||30660.0||2018-08-08 16:26:46.226172|calculated in Python 3.5 with numpy 1.13.3 trapz||||
